ionIdx,ionMz,average intensity,mz difference,id,score,formula,ion,name
1,59.0137449,96.57421921,0.000105196,HMDB00042; HMDB03344,100,C2H4O2,-H(-),Acetatic acid
2,59.05007749,51019.65146,0.00015691,HMDB00820; HMDB00863,100,C3H8O,-H(-),Propanol
3,60.99319083,5628.873353,-7.58E-05,HMDB03538,100,CH2O3,-H(-),Carbonic acid
4,71.01382992,2153.77349,2.02E-05,HMDB01167; HMDB06112; HMDB31647,100,C3H4O2,-H(-),Propenoic acid C3:1
5,73.0294203,3483.292994,7.90E-05,HMDB00237; HMDB03052; HMDB03453; HMDB06458; HMDB06961; HMDB31229; HMDB31523,100,C3H6O2,-H(-),C3:0 (Propionic acid)
6,74.02467017,14146.4092,7.77E-05,HMDB00123; HMDB14691; HMDB31239,100,C2H5NO2,-H(-),Glycine
7,83.04891562,4203.229254,0.00131878,HMDB01184; HMDB12157; HMDB31407; HMDB31512; HMDB31530; HMDB31601; HMDB31606; HMDB31607; HMDB32458; HMDB37788; HMDB40584,60,C5H8O,-H(-),Methyl propenyl ketone
8,84.04545217,811.7169611,3.08E-05,HMDB02039; HMDB60427,100,C4H7NO,-H(-),Acetone cyanohydrin
9,85.02942002,52095.82583,7.93E-05,HMDB00549; HMDB02523; HMDB03407; HMDB10720; HMDB31209; HMDB33977; HMDB34439,100,C4H6O2,-H(-),Succinic aldehyde
10,86.02448759,5799.633282,0.000260309,HMDB03609; HMDB39426,100,C3H5NO2,-H(-),Dehydroalanine
11,87.04511234,2164.48206,3.62E-05,HMDB00039; HMDB01873; HMDB03243; HMDB30062; HMDB31217; HMDB31507; HMDB40253; HMDB40579,100,C4H8O2,-H(-),C4:0 (Butyric acid)
12,88.04034469,10342.31628,5.24E-05,HMDB00056; HMDB00161; HMDB00271; HMDB01310; HMDB31219,100,C3H7NO2,-H(-),Alanine
13,89.02442097,2430.087781,-7.57E-06,HMDB00190; HMDB00700; HMDB01051; HMDB01311; HMDB01882; HMDB29580; HMDB31232; HMDB41929,100,C3H6O3,-H(-),Lactate
14,93.03452788,8107.450712,5.73E-05,HMDB00228,100,C6H6O,-H(-),Phenol
15,94.02981948,1035.804848,1.43E-05,HMDB13751; HMDB36057,100,C5H5NO,-H(-),Hydroxypyridine
16,95.01397381,4478.942029,-0.000123709,HMDB32914; HMDB60503,100,C5H4O2,-H(-),Furfural
17,97.02943434,14405.31615,6.50E-05,HMDB13742; HMDB29609; HMDB40145,100,C5H6O2,-H(-),C5:2
18,97.03992286,43829.72306,0.000808739,HMDB60768,100,C4H6N2O,-H(-),4-Hydroxymethylpyrazole
19,97.0656745,26965.91247,0.000209102,HMDB03315; HMDB30332; HMDB31196; HMDB31496; HMDB31497; HMDB31498; HMDB31563; HMDB31564; HMDB33549; HMDB33714; HMDB35239; HMDB40264; HMDB40271,100,C6H10O,-H(-),Cyclohexanone
20,98.02471872,4020.391394,2.92E-05,HMDB30276,100,C4H5NO2,-H(-),Succinimide
21,99.00861257,2895.134259,0.000151627,HMDB32523,100,C4H4O3,-H(-),Succinic anhydride
22,99.04430547,7720.890612,0.000843025,HMDB00509; HMDB01470; HMDB01862; HMDB02167; HMDB29599; HMDB29608; HMDB31178; HMDB31598; HMDB31602; HMDB31648; HMDB32351; HMDB32385; HMDB32459; HMDB33840; HMDB33978; HMDB35143,100,C5H8O2,-H(-),Valerolactone
23,99.05624436,1194.907554,0.000136436,HMDB31642; HMDB33952,100,C4H8N2O,-H(-),N-Nitroso-pyrrolidine
24,99.08157687,5181.57735,-4.41E-05,HMDB00753; HMDB01318; HMDB02939; HMDB05842; HMDB05846; HMDB05994; HMDB30003; HMDB30952; HMDB31220; HMDB31502; HMDB31503; HMDB31578,100,C6H12O,-H(-),Cyclohexanol
25,100.040395,64949.075,2.12E-06,HMDB29387; HMDB29615; HMDB36458,100,C4H7NO2,-H(-),Homoserine lactone
26,101.0244822,2070.164446,-6.88E-05,HMDB00005; HMDB00060; HMDB01172; HMDB01259; HMDB02217; HMDB03381; HMDB31646,100,C4H6O3,-H(-),Oxobutanoic acid
27,101.0606961,3307.349015,0.000101562,HMDB00718; HMDB00892; HMDB02176; HMDB30058; HMDB31175; HMDB31241; HMDB31247; HMDB31249; HMDB31516; HMDB32230; HMDB32263; HMDB33742; HMDB33890; HMDB34237; HMDB39799; HMDB40575; HMDB41992; HMDB59678,100,C5H10O2,-H(-),Pentanoic acid
28,102.0560059,2529.029068,4.04E-05,HMDB00092; HMDB00112; HMDB00452; HMDB00650; HMDB01906; HMDB02166; HMDB02299; HMDB03911; HMDB31329; HMDB31654; HMDB38394; HMDB41945; HMDB61050,100,C4H9NO2,-H(-),Aminobutanoic acid (ABA)
29,103.0400636,26282.89572,-9.53E-07,HMDB00008; HMDB00011; HMDB00023; HMDB00336; HMDB00357; HMDB00442; HMDB00710; HMDB00729; HMDB31212; HMDB59748,100,C4H8O3,-H(-),Hydroxybutanoic acid
30,104.0352343,3064.666394,7.69E-05,HMDB00187; HMDB03406,100,C3H7NO3,-H(-),Serine
31,105.0194339,80132.35166,-0.000106428,HMDB00139; HMDB06372; HMDB31818,100,C3H6O4,-H(-),D-Glyceric acid
32,105.0383911,5705.162168,-0.000437481,HMDB31716; HMDB40185; HMDB41475,100,C4H10OS,-H(-),3-(Methylthio)-1-propanol
32,105.0383911,5705.162168,-0.000297514,HMDB00187; HMDB03406,80,C3H7NO3,-H(-) [+1],Serine
33,107.0501028,328866.8482,0.000131557,HMDB01858; HMDB02048; HMDB02055; HMDB03119; HMDB33895,100,C7H8O,-H(-),Benzyl alcohol
34,108.0123791,15379.53021,8.80E-05,HMDB00965,100,C2H7NO2S,-H(-),Hypotaurine
