Pathway,Score_Androgen,Score_EGFR,Score_Estrogen,Score_Hypoxia,Score_JAK-STAT,Score_MAPK,Score_NFkB,Score_p53,Score_PI3K,Score_TGFb,Score_TNFa,Score_Trail,Score_VEGF,Score_WNT
Alanine Metabolism,-0.43202824966723447,-0.8806273954733935,-0.21441641888322385,-0.3442343027867687,-0.19505709487994888,-1.4846936774881274,-0.9567720679192119,-0.8306972074878398,-0.43202824966723447,-0.29441427221594596,-0.773178729744573,-0.19108844458121949,-0.2916526229228942,-0.6448540555860006
Alpha Linolenic Acid and Linoleic Acid Metabolism,-0.7714124851983963,-0.08011234515337089,-0.6881129907518908,-0.4349737403988243,-0.6243139941923906,-0.08280603256045024,-0.8155659617702262,-2.9003738567420227,-0.03721863974680778,-1.3111952308448283,-1.1840321907221072,-2.5023131347527547,-0.178054940053959,-1.886919430364931
Amino Sugar Metabolism,-0.1821516618623066,-0.9863442317780208,-0.08752727580522655,-0.10543172099172109,-0.5362466410134169,-2.3259547736609534,-0.5916147666932351,-1.60705783957525,-0.08538095187831425,-0.0786733149959154,-0.5814821326068242,-0.5038408988269373,-1.0001918248338373,-1.4681470945339266
Ammonia Recycling,-0.47190403949450643,-1.201196517059717,-0.7370642147633586,-0.10248253295218171,-1.1311514946207946,-1.956408571195667,-0.4573695954709467,-0.739681266893301,-0.6565200774064647,-0.9854337805476913,-0.4236197343710295,-1.4308383317700255,-0.9202816894663879,-1.4145720443105165
Androgen and Estrogen Metabolism,-0.06510744805967991,-0.3556807881667945,-0.6615159861020083,-0.5179092402418461,-0.18032585554114458,-0.5113686923539049,-0.7359799792541655,-1.9716447169847924,-0.047932866890230685,-0.8613800143967633,-0.7311711314868673,-1.0219300441765904,-0.23195653761393334,-1.152480503101452
Androstenedione Metabolism,-0.1415833598601003,-0.32913134952960293,-1.8708342874931532,-0.615350561503512,-0.6897950943252428,-0.4590838970048865,-1.4667824453465468,-2.465922712185152,-0.11157449260484217,-0.7937355901447846,-1.5525562322763868,-0.377615729251043,-0.23480614194487637,-1.8049206440682584
Arachidonic Acid Metabolism,-1.0890752450862835,-0.6241721818387559,-0.9057296752170243,-1.2281565569831394,-0.7691639379787781,-0.9284906769296495,-1.9631762560829453,-1.048638169463287,-0.5114085645972958,-1.0417172950331444,-1.3427268450356948,-2.165158129211831,-0.539894707467088,-1.182554600226457
Arginine and Proline Metabolism,-0.06905205320218781,-0.751121618068687,-0.549747449560737,-0.13402619572048177,-0.13868684206233395,-2.1757228185595356,-0.2994233531676736,-1.1759705468562927,-0.2797445596726967,-0.13976791678742814,-0.1948293472617713,-0.12006003055240325,-1.7904762715941696,-0.35130647979406693
Aspartate Metabolism,-0.15093731385353598,-1.5087652518386123,-0.5094965653344985,-0.11183974475340079,-0.4164899707066891,-3.3044659578820603,-0.16710207008174682,-1.4882422389476282,-0.6565200774064647,-0.21997188563044046,-0.13735613512527511,-0.05277532000892444,-0.9768848347226026,-0.6398177806231363
Beta Oxidation of Very Long Chain Fatty Acids,-0.4585736656915178,-1.927008822507518,-0.5509086486576755,-1.4188266433317238,-0.3180774940369258,-2.1845547115997626,-0.22942346357436286,-1.2080508099069913,-0.24712488604381502,-1.0316719022819225,-0.25160889137675696,-0.19208966763824276,-0.4238149535613436,-0.5261205757703105
