Pathway,Score_Androgen,Score_EGFR,Score_Estrogen,Score_Hypoxia,Score_JAK-STAT,Score_MAPK,Score_NFkB,Score_p53,Score_PI3K,Score_TGFb,Score_TNFa,Score_Trail,Score_VEGF,Score_WNT
Alanine Metabolism,-1.44783044,-1.709577924,-0.132573583,-0.916734323,-0.308104316,-2.32404103,-0.772835968,-0.783075731,-0.255772877,-0.343882058,-0.811683668,-0.014304397,-0.403424612,-0.92329716
Alpha Linolenic Acid and Linoleic Acid Metabolism,-0.835439694,-0.303291846,-0.446776762,-0.523497927,-0.429821467,-0.076553469,-0.412997538,-0.584814332,-0.492687336,-0.966259102,-0.434652343,-0.432235562,-0.24712014,-0.680162868
Amino Sugar Metabolism,-0.860847317,-0.983813451,-0.081588721,-0.035699919,-0.48859104,-1.048498172,-0.285968403,-4.036167478,-0.258944645,-0.108488259,-0.164869671,-0.258944645,-0.650099529,-0.969355516
Ammonia Recycling,-0.301400576,-0.778288244,-1.170884285,-0.213153674,-0.440248981,-1.492001173,-0.110211423,-1.645076377,-0.324247608,-0.440090893,-0.160948974,-1.077525489,-0.806065581,-0.443209167
Androgen and Estrogen Metabolism,-0.155336322,-0.228065149,-0.802167259,-0.357248734,-0.265879877,-0.472384707,-0.874011986,-3.530246961,-0.150827325,-0.543582065,-0.977540009,-0.812453144,-0.611172275,-3.026087549
Androstenedione Metabolism,-0.130465097,-0.165632261,-1.155527756,-0.324757203,-0.363539342,-0.367647817,-0.666790305,-4.391052934,-0.194504449,-0.663432803,-0.521097682,-0.474205248,-0.450484947,-1.065652911
Arachidonic Acid Metabolism,-0.910807389,-0.526111175,-2.606019591,-1.029424543,-0.616518721,-0.297093905,-0.670602095,-0.97052591,-0.983175896,-1.557480135,-0.692167958,-1.796269786,-0.42333342,-2.235945623
Arginine and Proline Metabolism,-1.221179352,-1.362438317,-1.072403887,-0.540299368,-0.125054352,-2.862142814,-0.112535616,-1.550646245,-0.41054279,-0.330865828,-0.098861562,-0.04803461,-0.88076232,-0.591709573
Aspartate Metabolism,-0.745662597,-1.578728727,-1.149203169,-0.396396743,-0.392855172,-3.209792933,-0.06413724,-1.745365009,-0.300111306,-0.136602562,-0.130208333,-0.0771208,-1.203892932,-0.491536904
Beta Oxidation of Very Long Chain Fatty Acids,-0.726578832,-0.712974134,-0.527651087,-0.742745978,-0.263068493,-1.014181519,-0.132518112,-0.588272764,-0.564938043,-1.100984956,-0.090823532,-0.284998777,-0.588272764,-1.04999258
beta-Alanine Metabolism,-0.881335504,-0.744011675,-1.193770187,-0.227577979,-0.144658315,-1.867803766,-0.078112639,-1.908765196,-0.488058496,-0.014350583,-0.097442378,-0.188644449,-1.230369207,-0.393210303
