Pathway,Score_AR,Score_ARNTL,Score_ATF1,Score_ATF2,Score_ATF4,Score_BACH1,Score_CDX2,Score_CEBPA,Score_CEBPB,Score_CEBPD,Score_CREB1,Score_CTCF,Score_E2F1,Score_E2F2,Score_E2F3,Score_E2F4,Score_EGR1,Score_ELK1,Score_EPAS1,Score_ERG,Score_ESR1,Score_ESR2,Score_ETS1,Score_ETS2,Score_ETV4,Score_FLI1,Score_FOS,Score_FOSL1,Score_FOSL2,Score_FOXA1,Score_FOXL2,Score_FOXM1,Score_FOXO1,Score_FOXO3,Score_FOXO4,Score_FOXP1,Score_GATA1,Score_GATA2,Score_GATA3,Score_GLI2,Score_HIF1A,Score_HNF1A,Score_HNF4A,Score_IRF1,Score_IRF9,Score_JUN,Score_JUND,Score_KLF4,Score_KMT2A,Score_LEF1,Score_MITF,Score_MYB,Score_MYC,Score_MYCN,Score_NFATC2,Score_NFE2L2,Score_NFIC,Score_NFKB1,Score_NFKB2,Score_NR2F2,Score_NR5A1,Score_PAX6,Score_PAX8,Score_PGR,Score_POU2F1,Score_PPARA,Score_PPARG,Score_PRDM14,Score_RARA,Score_REL,Score_RELA,Score_RELB,Score_REST,Score_RFX5,Score_RUNX1,Score_RXRA,Score_SMAD3,Score_SMAD4,Score_SOX10,Score_SOX2,Score_SOX9,Score_SP1,Score_SP3,Score_SPI1,Score_SREBF1,Score_SREBF2,Score_SRF,Score_STAT1,Score_STAT2,Score_STAT3,Score_STAT5A,Score_STAT5B,Score_STAT6,Score_TAL1,Score_TCF7L2,Score_TFAP2A,Score_TFAP2C,Score_TP53,Score_TP63,Score_TWIST1,Score_USF1,Score_USF2,Score_VDR,Score_WT1,Score_YY1,Score_ZNF263
Alanine Metabolism,-0.462855992163146,-0.3731097498214485,-0.253651314416258,-1.8165477750988783,-1.2669909084930917,-0.5658203551887947,-1.291315000039584,-0.2227996636794199,-0.6893088097716162,-1.4839049863065714,-0.7216564375825729,-0.2351128820682647,-0.6410977966915435,-0.7252644555125534,-0.5150865906094892,-0.6633298894614686,-1.191145944039985,-0.19080502834778829,-2.438966622832454,-0.5517231976017573,-0.4983678509432571,-0.34353916089011066,-0.4610281785415708,-1.238756868093889,-0.30329110411731386,-1.3124463746431803,-0.316889443288701,-0.19080502834778829,-0.6410977966915435,-1.0943177771119301,-1.0059281318083297,-0.550453159108189,-1.3359653929432902,-0.3821885535563368,-1.1516825326812659,-1.3883541241935082,-2.223579337622071,-1.3970789762006612,-0.2351128820682647,-1.7302470949535511,-0.2737752396606706,-0.7165059712489219,-0.9296124535074122,-0.8871760188506371,-0.4261795675110334,-0.6894938805931807,-0.5696094967534086,-1.7041401701818772,-1.9117803078704108,-1.0483340151244394,-0.4605822284414279,-0.7366363789845427,-0.744363996788701,-0.9990025343631692,-1.438617563809092,-0.32499970876553397,-2.800203039978734,-1.0483340151244394,-0.856623237965527,-0.10448018460500039,-3.1228773518441826,-0.3024050378102001,-1.406713211667987,-1.0190292423365248,-0.5307513371042957,-0.3637528569850823,-0.5310514626628021,-0.10561848448200557,-1.4439014116964153,-0.8756595489920211,-1.183841670977796,-0.5517231976017573,-1.13488434929745,-1.1732290688093683,-0.4935974841409763,-3.3763407430493233,-0.3378333893174501,-1.1377029353379433,-0.9177389800028877,-0.27350366170981244,-1.6345264931967678,-0.8187525141524905,-0.8705481341260666,-0.12512375039974627,-1.2983077139666563,-2.4793596755945275,-0.5904609023386613,-0.34167468341669377,-0.2995632534290596,-0.3128078956839613,-0.2703014864842017,-0.4286253498931248,-0.8705481341260666,-0.30736624582440764,-0.4368545971473762,-0.3644711964062861,-0.966888339471991,-1.4439014116964153,-0.41685059546515163,-0.44996368248661184,-0.5954009906292187,-0.6099235324438106,-1.8133322895665978,-0.6657839013107613,-0.15161911634059905,-1.134044492898811
Alpha Linolenic Acid and Linoleic Acid Metabolism,-0.7126432576508027,-1.7665771491765931,-0.09900013128653538,-0.09213156523368247,-0.49329253199959383,-0.6092485187454074,-0.18886825283547437,-0.1533803972145001,-0.20329915849477215,-0.029218770415935773,-1.230041438549516,-0.7891180753945581,-1.293691189200441,-2.036277660497005,-2.1146668596389944,-1.010165235180847,-0.09900013128653538,-0.3203370101582332,-0.1393848358648505,-0.10441038624737914,-0.22223796263043555,-0.1749225346183087,-0.1017044928707674,-0.021232275153386836,-0.2892882652598022,-3.6103752881310855,-0.0774201757535715,-0.23334786403189647,-0.058617350901216406,-0.5673524008818829,-0.11503124618320226,-0.6061182057336425,-0.18678894300592555,-0.28647563293741213,-0.442157116128515,-0.33616162189531007,-0.5973693660233056,-0.6881129907518908,-0.2808553313124555,-0.8088797987543344,-0.42049280521443727,-0.2356892471000007,-0.13715294603857986,-0.31467675349140345,-0.29773611166889996,-0.12067801157489456,-0.003891573507593588,-0.044998500908167344,-1.6306896515196734,-0.11049512827610779,-2.2863740803880073,-1.0067056882487866,-1.0824262083076934,-0.7491217417911368,-0.1397271872660998,-0.8466958800125463,-1.2715570903563025,-0.053258680312762686,-3.0140645619556983,-0.625075190797725,-0.794394474476082,-0.4904051319177534,-5.2708372418426634,-0.4060556326902575,-0.0666666440772559,-0.07204038414093131,-2.2302160245580147,-1.1533893149472967,-0.08819796825186996,-0.09089621997024062,-0.10711781315037022,-0.14518378966760387,-0.06462240213652695,-0.269327230293272,-0.011924469892427635,-0.7058835789965393,-0.12883264473660547,-0.0962972997630534,-0.5677612240567044,-1.2715570903563025,-0.5099746980542339,-0.058617350901216406,-0.15669151074566814,-0.31135334160295636,-0.6101525550082701,-0.5361903238511385,-0.4699081340374226,-1.7471652983845423,-0.2892882652598022,-0.11486231837195822,-0.12355392579892986,-0.48426969416811555,-0.13856352852828954,-2.296160100839667,-0.04523192801432984,-0.10982677532322006,-0.31909616325817197,-0.03557869844893025,-0.12067801157489456,-0.833366859415865,-0.0774201757535715,-0.4351840257409636,-0.7402134817216445,-0.3658621313095038,-0.8122217105234973,-0.42677609669522576
Amino Sugar Metabolism,-0.3139102459121818,-1.3615586838772784,-0.43311474421932905,-3.661647855028179,-2.120846929054426,-0.24713085363199186,-3.670882973816142,-0.9457125404838722,-1.6213996608962595,-2.173136940116266,-1.967705304302699,-0.3410135443421121,-0.18784452813240154,-0.3520614067618709,-0.18587197309126705,-0.41318966881633223,-2.645805628437492,-0.24176649002617848,-2.3680364765400275,-0.932724027224143,-0.6299874276328282,-0.7650131970823845,-0.5216128675479071,-1.306501819892587,-0.46527725412917076,-1.490483182900722,-0.7484146187985882,-0.48295178111675563,-0.9744000876540513,-2.3378137020942376,-1.9096135617460193,-0.16397350703297517,-4.569745981365648,-0.8515308225113462,-3.117997740900598,-4.680132232128032,-1.0748887256972004,-1.8669951652111276,-0.8525503876813689,-1.0941457728339519,-0.17619256540984016,-3.319403847173212,-4.712617028791593,-1.0036392849273659,-0.628707869862742,-0.8515308225118339,-0.546589490783583,-3.4422294950460923,-2.133832129219684,-2.6342600547734136,-0.7458569431922809,-1.2691268528952302,-0.27539020574732764,-0.9384253946540485,-2.8149027012859964,-0.06028709209788754,-3.4750011871252022,-1.8911242098990062,-0.4762842790443624,-0.569573735659371,-5.219063131673839,-0.44869020109734753,-0.2869468569883198,-1.995506701021308,-0.8130082539134729,-1.5015842914732744,-0.7482771887905432,-0.28817263591460923,-3.167573246269928,-2.1551700574875503,-2.502320208875724,-0.7719511121645837,-1.979900826935519,-3.512805659279462,-3.1501487981317537,-3.8730023311614055,-0.6981888595917339,-1.2812927552592817,-3.6592214042835614,-0.18369553767238925,-4.865558286024051,-1.2009890001738412,-1.674275800026777,-0.263577031080421,-2.3874812602885096,-3.553508304624225,-0.7133200863698069,-0.27229428911966536,-0.599253918893292,-0.786270006417412,-1.0411788442074292,-0.8525503876813689,-1.276236747351952,-0.12846809384786526,-0.722663490744515,-0.9071399749727106,-2.4205201866470105,-1.6846225580025849,-0.48518683269615653,-1.0813976344535459,-1.3395322897646162,-0.5025352736073477,-4.0324446397875375,-0.5465894907834843,-0.023181864241606228,-1.2816972871802943
Ammonia Recycling,-0.11508538315551975,-0.3498118567344777,-0.5866757272994949,-5.708418729995162,-2.4764989388298777,-1.3754410533258694,-3.427720659411571,-0.6097248313469861,-3.7712469990598034,-4.133039579193062,-1.6415263922849097,-0.5736230101607349,-0.30471125606619476,-0.24156917729304533,-0.31158775683092516,-0.2995070859526722,-1.408635558691682,-0.35970921688295854,-1.300763583999401,-0.9022183388415574,-1.4644274996849482,-1.759393371878586,-0.8408045010490608,-2.9137030965332924,-0.4824721432029232,-1.4393285964413056,-1.06876123850271,-1.5524642225042002,-1.3799507172026282,-5.230304983738397,-3.948650981148065,-0.2734450734787807,-4.6328377700223555,-0.890219354858258,-6.076169219766168,-3.310356336320338,-1.1912493505222392,-2.4830941254076357,-0.8507688982014021,-1.292139697837936,-0.18045639849504994,-3.6415297557550583,-4.146932661933996,-1.9641143597453268,-1.6954531884960062,-0.8397732818463098,-1.7112158831793325,-4.5100923868560505,-1.5331940399678112,-0.6124862409613528,-0.352987300974857,-1.1733709063362379,-0.21997188563044046,-1.070182908823823,-1.3091447150201043,-1.2665712956540371,-4.236808397672663,-1.5254120802908517,-0.7298979833230557,-0.3496530809798842,-4.0311602664253705,-0.6150002868382896,-0.9022183388415574,-1.6643711965327768,-0.6817274368462295,-3.1792171830685,-0.8011374031921996,-0.3930242950540527,-1.8543870771903226,-2.695263257079781,-2.4447404840141593,-0.8697087288304519,-4.851210462000115,-5.902769332807932,-2.3743595929931667,-4.482334478968941,-1.039689661308657,-2.0760552529328047,-2.053193572971227,-0.3496530809798842,-4.022865866235851,-1.1369267429119079,-1.8797252704787835,-1.1712316186368066,-1.3191412582488287,-2.7200636992862606,-0.45910804416857454,-1.0967277969269005,-1.7852855217385932,-0.9377511490890008,-1.4069633021668098,-1.4498488678743662,-1.3964070111822058,-0.02483117686466921,-0.3107555892964639,-0.6029013817813189,-3.427221792081119,-1.756031418369154,-2.224485577428355,-0.47161363511578536,-0.8761358850388369,-0.6328052533219849,-3.3587151874293286,-0.5891060652455264,-0.14602720522889404,-1.8493115373655011
Androgen and Estrogen Metabolism,-0.504571186866003,-0.19628877054953797,-0.45465332282105747,-0.768232937770853,-2.6337223466118918,-2.4462983216722343,-1.1740722404706652,-0.6218299854146314,-1.5269682356645846,-2.0977508371425366,-0.5884237094911592,-1.0041179170182613,-0.16314593359172927,-0.3586620168001707,-0.30214227003883587,-0.341203915360363,-0.8291212673587843,-0.5953109966825086,-0.6042645783405175,-0.8897301027279004,-0.7406711541393591,-2.432704703324777,-0.4687739529410689,-0.6667633054944617,-0.7469979268193937,-0.7073944198889883,-0.5382548670620596,-1.3070414821773513,-0.5409868159262113,-1.402990676625107,-1.212314548192012,-0.4574574766536821,-2.0977508371425366,-0.5288977808118415,-1.9050081283275286,-1.4396176360306314,-0.8967231082158413,-0.7469979268193937,-1.6945264404268123,-0.4252153733836418,-0.5859459562662814,-4.559326895306651,-3.3596439208068896,-1.0010365570028184,-0.5913656380971027,-0.7891686629053117,-0.6586739062503834,-1.4988001979216723,-1.0935822412365988,-1.5749101545564679,-1.5301997896281805,-1.0428835533477543,-0.34821408608551,-0.31123787859909674,-1.085365639422957,-2.176490534933156,-0.5421752268666234,-1.2744200325278288,-0.850008480817092,-0.6822405700772757,-1.9712868344166625,-0.5080326443710479,-0.6662521476674751,-1.3070414821773513,-0.7031451881422446,-2.002166061756165,-1.7031039581958762,-0.2949435344343841,-4.123144741963454,-0.5704418607468349,-0.7406711541393591,-0.9260594943455318,-2.050935850903397,-1.9800084749259383,-3.3596439208068896,-0.7004454885119494,-1.2878447450101447,-0.9730224267617307,-1.3879933133988775,-0.8157583055570815,-0.9071515656521862,-0.42024868192209347,-0.41783816056950185,-1.0656071146829997,-0.8056085618843681,-1.0454339258358292,-0.5576670998141918,-0.4391028010305634,-0.4674721399282234,-0.9115692751634766,-1.0556086435104886,-1.402990676625107,-0.7533820717381097,-0.37708512511203107,-0.5879640538646602,-0.8344792703621134,-2.002166061756165,-0.8877302555215204,-2.2928249199718698,-0.5827227051302164,-1.309962494032871,-1.012737523714659,-1.3621607342433326,-0.2851678759807542,-0.5687943828347903,-0.45223539550150643
Androstenedione Metabolism,-0.6656453505108334,-0.33073586242797043,-1.2436839568642544,-1.5898135428758284,-2.9983386519493513,-2.388474579894025,-1.4998570700939566,-0.8252567774443588,-1.8597565934174356,-2.3260602889383644,-0.7825201785252117,-0.6929370831437085,-0.6483709856556927,-0.6906910067217084,-0.6721400593414878,-1.146311316567731,-0.6800549210144456,-0.5824784064306391,-1.3747139138409985,-0.7267281898171384,-1.124957321848583,-2.1146344364706624,-0.6134206461729901,-0.7331955249819385,-0.7245910597584145,-0.5575141430820325,-0.6925839020861597,-1.5243101269336339,-1.1163877294589133,-1.5114137969917245,-1.539941062370653,-0.5631544569500246,-2.3260602889383644,-0.6266058862093972,-2.1317166208963365,-0.8255533200152242,-0.9996837625964932,-0.6927130957039074,-1.9189958358325638,-0.27234985920283494,-0.9484056506280232,-4.936644788228335,-3.5927637696115413,-0.6700313728287063,-0.7384712670799656,-0.7759094877971405,-0.42085248176831525,-1.8381929843469145,-0.5910863653987807,-1.3320858732562262,-0.988185013607548,-1.481097203493325,-0.4947416486094979,-0.4605093314510631,-0.7765598454249474,-2.5338190913959115,-0.47248956648070906,-1.4921890875536468,-0.8756950237323047,-0.37920114892164536,-1.843380458405246,-0.5168419499128293,-0.5855718234264841,-1.4152246004386295,-0.6549893714104705,-2.1113105311812332,-0.6674002017366522,-0.16483963489375109,-4.499014544922324,-0.8347489986906916,-1.1063895950281533,-0.5450412207445173,-2.405708928988518,-0.8551616615257329,-3.5927637696115413,-0.5786064313125034,-1.74525398599924,-1.4049274708823654,-1.1569046015987983,-0.6340873946511532,-0.5369110567630424,-0.8540825597775978,-0.626836410949689,-0.9369545119016391,-1.0896734032203927,-0.8134692398841428,-0.5021986167772484,-0.2933091865183081,-0.683083942667231,-1.3375650925039786,-1.1628340030478588,-1.5114137969917245,-0.8060177434254729,-0.29311768198239807,-0.9240456448477189,-0.7959219028339203,-2.1113105311812332,-1.1340714313357199,-2.5224160657668873,-0.20902150462308713,-0.942387555735038,-0.7589667469840019,-1.5562823792439147,-0.23865514083276818,-0.9671432178917115,-0.819418944419546
Arachidonic Acid Metabolism,-1.2572620454761922,-0.7617436141687046,-0.952565606432301,-0.8570907612388028,-0.655687207132986,-2.145086892630823,-0.6201919323680412,-1.3207203452176464,-1.5402717694176764,-0.9164651434914495,-0.9393970563790436,-0.5226598609688677,-0.5927833317079924,-1.342850578376589,-1.1373358000294134,-0.9688745762386604,-0.6375675365929503,-0.7748132694467684,-1.4052772759208745,-0.5030725461896031,-1.1183961696218667,-0.7097632528589413,-0.9199897350209381,-0.21478663863013886,-1.084325756649173,-1.0491637804412755,-0.9164651434915544,-0.8064773598310763,-0.8717677754928707,-0.32003999433762614,-1.41751177322907,-0.6427689981497786,-0.7621804921523596,-0.7447596683062592,-0.9360145116368336,-0.5657492873433273,-1.061730602505937,-0.4959215634839447,-1.7074780381868868,-0.3836757689646915,-1.0939898098446816,-1.632823799842845,-1.3357104052979882,-0.9638568637523585,-0.7597049311993768,-1.2913641076947784,-1.2426949585353149,-0.719922368713449,-0.31978552236043123,-0.05043278909884641,-0.316464479795205,-0.636841418905916,-0.47714053649621074,-0.5650533507085285,-0.6201919323680412,-2.0556431510536615,-0.43479587177710366,-1.419426165285848,-2.795760067495742,-0.9852858502530497,-0.7972828183198707,-0.8154465480819367,-1.840508076442883,-1.2136467280717702,-0.41265198743854903,-0.6310649578906317,-0.29500441712750136,-0.518994701643945,-0.8776641002011533,-1.2537774663842063,-1.1035059065421868,-1.06062403729312,-0.9984498722846993,-1.2226151067837365,-1.034680409634007,-0.9806026420486402,-0.8858474979059593,-0.7654869829831746,-0.539894707467088,-0.9956512413587197,-0.5565104424144487,-0.8048068185368146,-0.859046544839255,-1.404535902206168,-1.5396419190298722,-1.0308715236322123,-0.6743866363035818,-1.0828343227410893,-0.5657492873428891,-0.9432435385093483,-1.046439443372198,-0.6330997173444138,-1.1635183137369502,-1.1183961696218667,-0.48658301671167026,-0.8598704023356855,-0.27509409199467433,-0.6824510804065748,-0.8515308225113462,-0.5238442469682651,-1.292694464141734,-1.1384523827997537,-0.650894497613279,-0.5664048603755856,-1.0200717455181183,-0.7417957663845652
Arginine and Proline Metabolism,-0.08258906931802233,-0.2089996140620985,-0.27478605789839683,-4.881512319313432,-3.553021938160453,-1.8540463134989922,-4.9153520930658114,-0.09479785776247615,-1.8883511262236334,-3.6890338647324326,-3.339049758438874,-0.10611746398354717,-0.5794855666301407,-0.25442446562007937,-0.3755123154528449,-0.615490970553563,-0.8658364505104763,-0.3416264810648664,-1.728990109733241,-0.26296034173300636,-0.8344515587885696,-1.4625946540559212,-0.15499813262441636,-4.0235538935193835,-0.2426632704405941,-3.6212403301165974,-0.575556834293924,-0.9453503691091668,-0.4542782074571396,-4.693522033177464,-1.8915932580008974,-0.5698163432456632,-2.5504134937411655,-0.10865592536666469,-2.8573753817269525,-5.55176248065171,-1.2313321281568261,-5.103830378248684,-0.8067748866669427,-3.628888476596262,-0.05981165720458092,-2.949930271731583,-3.081490532767224,-0.9222160607688508,-0.32561255555701113,-1.0985160832559038,-0.8009123498354134,-4.754758363142923,-4.48639524853535,-1.2329799421811203,-1.253148754955709,-0.623208116593908,-0.5162581325509286,-2.435527325485389,-3.88513651199397,-1.5288666672516933,-7.928181416604891,-1.2106775724253866,-2.428811461770605,-0.3320759266878965,-6.473528280913676,-0.18589443148455623,-0.9231873449967348,-2.914716149713163,-0.6149258668306343,-2.119453481789789,-0.6769240205356979,-0.313007916412591,-3.082820901027061,-1.7101261729055246,-1.265034794031585,-0.28800809097583563,-1.721011119332791,-3.5492332794484764,-1.2495332059528297,-4.964245362580391,-0.5497664666982646,-1.4259679720564535,-1.2759315413821655,-0.5057003743944782,-5.861247923753633,-0.8559200454717868,-0.6045590064027606,-0.13868684206233395,-2.6819753894690015,-4.891453766434683,-0.14801603950771933,-0.20094628163529357,-0.3007354797792172,-0.6063245401859899,-0.4317642043319502,-0.7385055834861285,-0.7598681451691449,-0.15934338748877333,-0.2890116691795738,-0.18585994071824768,-3.9424838516212315,-0.9588371321025634,-1.5965685885702747,-0.7522183575133112,-1.0652657469589764,-0.15735579652354523,-5.029886355519663,-0.28978665001759224,-0.13868684206233395,-3.611097294451684
Aspartate Metabolism,-0.0727067267912149,-0.6617275076845432,-0.28360841124105224,-4.904145557637362,-3.1942098298893535,-0.6280019775725302,-2.8326408748912,-0.09878188701396526,-1.9998856598612915,-3.8487673305740424,-3.1551591303872937,-0.3707708112894739,-0.7192162471255045,-0.7750370339131532,-0.8482292596669997,-1.0872276783805728,-1.9010194745296578,-0.0873213917389794,-1.7603330202225231,-0.20897001878108534,-0.3775013014361899,-0.4990864746080493,-0.24307197789681975,-2.986946144433422,-0.19525364699680264,-2.4255092556095614,-0.5038185947701935,-0.2646427586623473,-0.39336760231834145,-1.9265721758975682,-1.9647355309376355,-1.0130987835936738,-1.8960699566121184,-0.10790158467851231,-2.0867877490464877,-3.260702982682382,-1.5438759450225197,-3.121264879777553,-0.048403465050064085,-3.95509543207743,-0.15585019975076136,-1.6585044334626984,-2.399335272965561,-0.9118174352715289,-0.3045024769470233,-1.094947650332415,-1.7112158831793325,-3.8985326912308462,-3.7438637541978963,-1.4321814902843253,-0.6917088342145814,-0.29482281991674025,-0.553119683038017,-2.6781126986792443,-3.445383339759765,-1.2665712956540371,-7.541727867965872,-1.3588695017493875,-2.48517788520999,-0.35467969359736645,-4.265444063762451,-0.21461402929015036,-0.9022183388415574,-2.7843080753194474,-0.3846921972669797,-2.078273375660386,-0.9988098266304721,-0.6930378229286994,-1.9194593359913426,-2.804077032190812,-1.1440282196396139,-0.6094188234370389,-1.4941242531604972,-3.150739451641282,-0.9397460683306874,-3.427720659411571,-0.30988453459778026,-1.066835450011029,-0.9125554874042536,-0.3496530809798842,-5.760830704545254,-1.0952616427305482,-0.9058694825814647,-0.13621530723751507,-3.0856176956688905,-3.7588844876040204,-0.18392039207721636,-0.46091616050186984,-0.21126440786497103,-0.45121191779178343,-0.39518111543322054,-0.7183448124473234,-0.739593051614961,-0.274600896227613,-0.3613885898525188,-0.21597903027784218,-3.22765625382221,-1.0459836574058605,-0.7473525940053848,-1.3333746029690188,-0.56685317265746,-0.24476066880401187,-3.3587151874293286,-0.8300354423961768,-0.13748113509173238,-2.916900392955149
Beta Oxidation of Very Long Chain Fatty Acids,-0.5429941993646861,-0.48058810513342626,-0.31281021004366183,-1.4030456246025427,-1.1336924499549468,-0.7011812551375942,-1.323568380992554,-0.5881449863223441,-0.622864872629997,-0.6813353982531974,-1.0159783188284217,-0.9045886682845096,-0.3570967273735745,-0.9016048457625058,-0.7084808361239083,-0.2949746155482826,-1.2681732135556927,-0.9425553187731355,-0.5802490894969308,-0.3955033432744365,-0.6782526903781136,-0.7099008730524398,-0.43195182498306006,-0.4121995637616288,-0.39282419409683683,-1.131743104994519,-0.452002063187404,-0.19283655621630444,-0.5313608096041615,-0.8718015071048811,-1.2392760795011668,-0.5429941993646861,-0.48969899583395887,-0.6951488593004944,-0.8239603629915816,-1.1380770235921134,-0.6906910067217084,-2.444950252948669,-0.18567081195389049,-1.4103981887270345,-0.8591493403750557,-1.1221317515678546,-1.3469800394914744,-0.2591727831215517,-0.3555370355366613,-0.2864370877064068,-0.5403297820685706,-1.4172128779095285,-1.8716814526519205,-0.7608063807809219,-0.43082322876478363,-0.8257850871540053,-0.7799035082794873,-0.628315257415304,-1.3247258869561551,-0.29418601419368057,-1.5927603134446957,-0.9673695999434331,-0.7319640189958351,-0.20001923082864392,-1.3781539557659175,-0.1412635729698129,-0.6857019905589231,-1.2738313359610138,-1.2161932109778828,-0.2793086357325675,-0.6692524311815146,-0.4093023861166099,-1.077123960102075,-0.2712082161687033,-0.7920327739070464,-0.2876420004105386,-0.7539664832210891,-0.9198005146824139,-0.4176388295071338,-1.6482706202822504,-0.8212219985520296,-0.5208435078480063,-0.39060082604128094,-1.246333987456985,-1.6565967393525096,-0.6542134026632281,-0.8251954051650445,-0.15183266454934474,-1.234011993992991,-2.4267782932231827,-0.8700150990677059,-0.7179762752580928,-0.4312573766886231,-0.37920114892164536,-0.2350593268593971,-0.28981241890921694,-0.6938459159859144,-0.3441986196399059,-1.0599960302546567,-0.3649796283600394,-0.6393775889435648,-1.1939418160356416,-0.6690545682732634,-0.4618915925968644,-0.4238149535613436,-0.5429941993646861,-2.869689390625147,-0.29012284914199704,-0.6166688101267455,-0.8131750076777066
